team,wk,season,fg.,ft.,X3p,trb,ast,stl,blk,tov,pts
"Paul George, John and Ringo",10,2,0.4626,0.7324,20,166,114,30,12,54,458
Conor's Tumbleweeds,10,2,0.4612,0.7556,15,286,135,47,28,87,591
Ian Banh Mahinmi,10,2,0.4277,0.7059,31,285,138,42,34,76,529
Sami's Mannschaft,10,2,0.4689,0.8013,64,265,126,40,48,89,727
Conquest Pain,10,2,0.4358,0.7848,75,258,151,41,30,101,681
No Look No Pass,10,2,0.424,0.8302,50,208,116,29,35,67,456
Double Double,10,2,0.4965,0.7211,45,224,136,41,19,56,579
Delonte's Donuts,11,2,0.4517,0.7967,72,275,164,57,32,94,797
Double Double,11,2,0.4606,0.8117,33,271,136,35,29,73,626
Soccer Karate,11,2,0.4334,0.7815,50,224,133,46,24,74,553
Ian Banh Mahinmi,11,2,0.4763,0.7143,33,229,174,49,32,98,625
Conquest Pain,11,2,0.4631,0.7868,67,259,131,61,22,88,726
"Paul George, John and Ringo",11,2,0.4513,0.7395,48,209,123,45,11,96,572
Windy City Poohdinis,11,2,0.4427,0.7965,43,254,141,44,36,105,644
No Look No Pass,11,2,0.4496,0.7568,70,230,154,40,29,90,582
Sami's Mannschaft,11,2,0.4824,0.8621,65,269,120,43,41,81,789
Conor's Tumbleweeds,11,2,0.4628,0.7198,23,294,152,51,33,93,652
Delonte's Donuts,12,2,0.4197,0.7917,55,197,96,42,13,65,523
Windy City Poohdinis,12,2,0.4832,0.7914,51,219,122,51,31,102,640
No Look No Pass,12,2,0.4704,0.75,47,225,109,37,33,58,467
Conquest Pain,12,2,0.3942,0.7847,33,214,125,48,32,77,500
Ian Banh Mahinmi,12,2,0.4191,0.6587,26,217,153,45,29,67,487
Sami's Mannschaft,12,2,0.4599,0.8662,50,256,146,34,41,88,689
Double Double,12,2,0.4581,0.7635,31,224,132,42,15,71,560
Soccer Karate,12,2,0.4658,0.8028,66,230,115,38,35,87,698
"Paul George, John and Ringo",12,2,0.4809,0.7117,41,238,124,40,24,77,609
Conor's Tumbleweeds,12,2,0.482,0.7879,32,267,153,32,24,91,616
No Look No Pass,13,2,0.4691,0.7833,64,247,125,41,34,62,644
Delonte's Donuts,13,2,0.4557,0.7531,68,278,168,54,27,77,804
Double Double,13,2,0.4394,0.774,21,238,108,33,21,54,504
Sami's Mannschaft,13,2,0.4822,0.8333,68,266,135,38,39,81,714
Conor's Tumbleweeds,13,2,0.4604,0.8029,43,238,168,39,24,109,653
Conquest Pain,13,2,0.4745,0.7778,67,173,118,33,23,68,600
"Paul George, John and Ringo",13,2,0.4654,0.7638,31,185,115,28,16,70,518
Ian Banh Mahinmi,13,2,0.4763,0.6353,32,274,139,43,21,78,582
Soccer Karate,13,2,0.4518,0.7279,42,231,115,41,28,69,563
Windy City Poohdinis,13,2,0.444,0.7935,57,235,143,36,23,87,680
"Paul George, John and Ringo",14,2,0.4375,0.7488,40,200,152,39,25,105,688
Delonte's Donuts,14,2,0.483,0.7906,82,265,150,52,36,85,831
Ian Banh Mahinmi,14,2,0.4628,0.6894,38,275,128,39,22,82,597
Windy City Poohdinis,14,2,0.4844,0.8222,42,276,169,53,27,76,725
Conquest Pain,14,2,0.4474,0.7877,52,218,142,44,15,89,609
Soccer Karate,14,2,0.4627,0.8,47,279,133,52,29,90,733
Sami's Mannschaft,14,2,0.4431,0.882,45,209,116,43,30,72,630
No Look No Pass,14,2,0.4012,0.7107,48,278,131,45,26,78,532
Conor's Tumbleweeds,14,2,0.4779,0.7857,38,213,163,47,20,90,602
Double Double,14,2,0.4657,0.766,35,272,140,42,26,86,591
Delonte's Donuts,15,2,0.4236,0.7172,63,227,119,45,32,72,627
Ian Banh Mahinmi,15,2,0.4909,0.7024,35,297,139,37,25,91,641
Windy City Poohdinis,15,2,0.4363,0.7895,22,274,171,58,37,104,688
Conquest Pain,15,2,0.4375,0.7486,86,216,195,55,20,106,766
Soccer Karate,15,2,0.5164,0.7546,41,282,116,43,27,74,764
Sami's Mannschaft,15,2,0.4403,0.8333,62,274,129,42,64,104,763
No Look No Pass,15,2,0.4759,0.7477,67,255,123,39,31,67,641
Conor's Tumbleweeds,15,2,0.453,0.7474,42,252,154,45,25,86,669
Double Double,15,2,0.5172,0.7863,28,200,142,30,18,79,602
"Paul George, John and Ringo",15,2,0.4712,0.7294,53,228,129,51,30,79,701
Conquest Pain,16,2,0.449,0.8083,65,231,186,50,27,105,793
Delonte's Donuts,16,2,0.4478,0.7736,72,311,175,69,31,92,877
Sami's Mannschaft,16,2,0.4545,0.8056,77,273,169,57,50,109,832
Windy City Poohdinis,16,2,0.4545,0.7857,36,257,180,46,25,95,662
Conor's Tumbleweeds,16,2,0.4784,0.8333,46,300,191,56,33,114,809
Soccer Karate,16,2,0.4773,0.7796,71,312,173,56,31,87,806
"Paul George, John and Ringo",16,2,0.4786,0.7167,71,291,204,45,29,111,913
No Look No Pass,16,2,0.466,0.7552,68,211,132,52,29,70,656
Ian Banh Mahinmi,16,2,0.5106,0.7283,41,330,141,53,36,73,697
Double Double,16,2,0.4924,0.7786,44,281,177,36,19,77,733
Delonte's Donuts,17,2,0.4424,0.7857,58,231,149,58,17,63,739
Sami's Mannschaft,17,2,0.4798,0.8293,54,312,136,53,61,85,784
Windy City Poohdinis,17,2,0.4807,0.7714,35,221,125,50,24,79,618
Conor's Tumbleweeds,17,2,0.4603,0.705,36,238,173,40,30,86,632
Soccer Karate,17,2,0.4963,0.7088,84,294,131,40,26,93,753
"Paul George, John and Ringo",17,2,0.477,0.6854,34,244,158,40,25,80,632
No Look No Pass,17,2,0.4579,0.8462,66,225,104,36,17,57,557
Ian Banh Mahinmi,17,2,0.498,0.7337,32,309,132,44,27,73,675
Double Double,17,2,0.4875,0.8199,44,250,162,49,18,78,684
Conquest Pain,17,2,0.4338,0.8487,38,195,143,37,12,67,493
Conor's Tumbleweeds,18,2,0.4717,0.7778,34,211,155,39,13,65,612
Delonte's Donuts,18,2,0.452,0.8387,57,251,205,49,28,78,757
"Paul George, John and Ringo",18,2,0.4871,0.6739,45,256,170,59,27,121,813
Windy City Poohdinis,18,2,0.4345,0.7733,26,285,146,48,23,100,635
Ian Banh Mahinmi,18,2,0.498,0.74,28,326,141,30,31,77,625
Soccer Karate,18,2,0.461,0.7826,64,260,124,40,28,83,668
Conquest Pain,18,2,0.4841,0.7447,68,194,164,51,23,91,691
No Look No Pass,18,2,0.4469,0.8014,59,240,121,39,30,83,626
Sami's Mannschaft,18,2,0.474,0.8478,63,295,146,47,55,97,765
Double Double,18,2,0.4822,0.8425,45,252,160,35,18,78,668
